Reference Index,type_of_reference,authors,title,year,abstract,start_page,end_page,alternate_title3,volume,number,publisher,doi,First Author
131,JOUR,"['Liu, Yiyang; Song, Pengfei; Ruizhe, Gai; Yan, Chi; Jiao, Yang; Yin, Di; Cai, Lankun; Zhang, Lehua']",Recovering platinum from wastewater by charring biofilm of microbial fuel cells (MFCs),2019,"Abstract Reduction in and recovery of precious metals are research hotspots in the environmental engineering field. In this study, we investigated the transformation and distribution of platinum in microbial fuel cells (MFCs) and demonstrated a feasible approach to recover platinum (Pt) from wastewater with less than 16.88 mg/L platinum through charring biofilms in MFCs and generate Pt/C catalyst. The optimal reaction condition was identified, and charred biofilms were analyzed via SEM-EDS, XRD and XPS. Results showed that less than 10% of Pt was in MFC effluents, and less than 0.5% was in the cathode chamber when the influent concentration was below 16.88 mg/L. Close to 40% of Pt could be recovered. The recovery efficiency could be higher should the reactions run longer. SEM-EDS and XRD results indicated that the metallic form Pt0 is one of the reduction products in MFCs. XPS results induced that Pt (IV) was reduced to Pt (II) and Pt0.",338,345,Journal of Saudi Chemical Society,23,3,,10.1016/j.jscs.2018.08.003,Liu
132,JOUR,"['Guo, Xuan; Zhan, Yali; Chen, Chunmao; Cai, Bin; Wang, Yu; Guo, Shaohui']",Influence of packing material characteristics on the performance of microbial fuel cells using petroleum refinery wastewater as fuel,2016,NA,437,444,Renewable Energy,87,NA,,10.1016/j.renene.2015.10.041,Guo
133,JOUR,"['Bhanvase, Bharat A.; Shende, T. P.; Sonawane, Shirish H.']",A review on graphene–TiO2 and doped graphene–TiO2 nanocomposite photocatalyst for water and wastewater treatment,2016,"ABSTRACTTiO2 is a more effective photocatalyst for the photocatalytic degradation of organic pollutants. However it shows more reactivity under UV light and around 5% of solar spectrum contains UV radiations. A new approach for the degradation of pollutants present in wastewater is suggested by making use of nanocomposite photocatalysts. The technique has potential for the treatment of wastewater because of the use of doped graphene-based nanocomposite photocatalysts. Graphene is a one-atom-thick planar sheet of sp2-bonded carbon atoms that are densely packed in a honeycomb crystal lattice. Furthermore, graphene has high electron mobility and therefore it will supress the recombination of the electron-hole pair formed which in turn improves the effectiveness of the graphene-TiO2 photocatalyst. In addition, development of doped graphene-TiO2 photocatalyst will be useful as it can be effective for the degradation of pollutants in the visible sunlight. Recently, there has been an increase in interest in the ...",1,14,Environmental Technology Reviews,6,1,,10.1080/21622515.2016.1264489,Bhanvase
134,JOUR,"['Guan, Yan-Fang; Zhang, Feng; Huang, Bao-Cheng; Yu, Han-Qing']",Enhancing electricity generation of microbial fuel cell for wastewater treatment using nitrogen-doped carbon dots-supported carbon paper anode.,2019,NA,412,419,Journal of Cleaner Production,229,NA,,10.1016/j.jclepro.2019.05.040,Guan
135,JOUR,"['Yang, Wulin; Kim, Kyoung Yeol; Saikaly, Pascal E.; Logan, Bruce E.']",The impact of new cathode materials relative to baseline performance of microbial fuel cells all with the same architecture and solution chemistry,2017,"Differences in microbial fuel cell (MFC) architectures, materials, and solution chemistries, have previously hindered direct comparisons of improvements in power production due to new cathode materials. However, one common reactor design has now been used in many different laboratories around the world under similar operating conditions based on using: a graphite fiber brush anode, a platinum cathode catalyst, a single-chamber cube-shaped (4 cm) MFC with a 3 cm diameter anolyte chamber, 50 mM phosphate buffer, and an acetate fuel. Analysis of several publications over 10 years from a single laboratory showed that even under such identical operational conditions, maximum power densities varied by 15%, with an average of 1.36 ± 0.20 W m−2 (n = 24), normalized to cathode projected area (34 W m−3 liquid volume). In other laboratories, maximum power was significantly less, with an average of 0.91 ± 0.26 W m−2 (n = 10), despite identical conditions. One likely reason for the differences in power is cathode age. Power production with Pt catalyst cathodes significantly declined after one month of operation or more to 0.87 ± 0.31 W m−2 (n = 18) based on studies where cathode aging was examined, while in many studies the age of the cathode was not reported. Using these studies as a performance baseline, we review the claims of improvements in power generation due to new anode or cathode materials, or changes in solution conductivities and substrates.",1025,1033,Energy & Environmental Science,10,5,,10.1039/c7ee00910k,Yang
136,JOUR,"['Dominguez-Benetton, Xochitl; Srikanth, ipam; Satyawali, Yamini; Vanbroekhoven, Karolien; Pant, Deepak']","Enzymatic Electrosynthesis: An Overview on the Progress in Enzyme- Electrodes for the Production of Electricity, Fuels and Chemicals",2013,"Recent interest in the field of biocommodities production through bioelectrochemical systems has generated interest in the enzyme catalyzed redox reactions. Enzyme catalyzed electrodes are well established as sensors and power generators. However, a paradigm shift in recent science towards the production of useful chemicals has changed the face of biofuel cells, keeping the fuels or chemicals production in the upfront. This review article comprehensively presents the progress in the field of enzyme-electrodes for the production of electricity, fuels and chemicals with an aim to represent a practical outline for understanding the use of single or multiple redox enzymes as electrocatalysts for their electron transfer onto electrodes. It also provides the state-of-the-art information regarding the different existing processes to fabricate enzyme electrodes. Successfully-achieved electroenzymatic anodic and cathodic reactions are further discussed, together with their potential applications. Particular focus was made on the novel single/multiple enzyme systems towards product synthesis and other applications. Finally, techno-economic and environmental elements for industrial processing with enzyme catalyzed bioelectrochemical system (e-BES) are anticipated, in order to provide useful strategies for further development of this technology.",1,20,Journal of Microbial & Biochemical Technology,2013,NA,,10.4172/1948-5948.s6-007,Dominguez-Benetton
137,JOUR,"['Abbas, Syed Zaghum; Rafatullah, Mohd; Ismail, Norli; Syakir, M. I.']",A review on sediment microbial fuel cells as a new source of sustainable energy and heavy metal remediation: mechanisms and future prospective,2017,"Summary Sediment microbial fuel cells (SMFCs) are different from microbial fuel cells because they are completely anoxic and lack a membrane. SMFCs are a novel technology for the simultaneous production of renewable energy and bioremediation of heavy metals. Recently, SMFCs have attracted the attention of many researchers because of their moderate functioning parameters and ability to use a range of biodegradable substrates like glucose, glutamic acid, river water, cysteine, acetate, and starch. The inocula used in SMFCs include river sediment, marine sediment, and wastewater. For power generation, many exoelectrogens in SMFCs have the ability to transfer electrons from electrodes by using natural electron shuttles. Exoelectrogens use four primary pathways to transfer electrons to the electrodes, including short-range electron transfer through redox-active proteins, soluble electron shuttling molecules, long-range electron transport by conductive pili, and direct interspecies electron transfer. The most dominant mechanism is long-range electron transfer via conductive pili because pili have metal-like conductivity. The powering by microbes is an emerging technique for the remediation of heavy metals from sediments. The pathways for transferring electrons in electrotrophs operate in the opposite direction from those in exoelectrogens. To further upgrade SMFC technology, this review targets the prototype, operating factors, working mechanisms, applications, and future perspectives of SMFCs. Copyright © 2017 John Wiley & Sons, Ltd.",1242,1264,International Journal of Energy Research,41,9,,10.1002/er.3706,Abbas
138,JOUR,"['Erable, Benjamin; Byrne, Nathalie; Etcheverry, Luc; Achouak, Wafa; Bergel, Alain']",Single medium microbial fuel cell: Stainless steel and graphite electrode materials select bacterial communities resulting in opposite electrocatalytic activities,2017,"A graphite electrode and a stainless steel electrode immersed in exactly the same medium and polarised at the same potential were colonised by different microbial biofilms. This difference in electroactive microbial population leads stainless steel and graphite to become a microbial cathode and a microbial anode respectively. The results demonstrated that the electrode material can drive the electrocatalytic property of the biofilm opening perspectives for designing single medium MFC. This new discovery led to of the first demonstration of a “single medium MFC.” Such a single medium MFC designed with a graphite anode connected to a stainless steel cathode, both buried in marine sediments, produced 280 mA m−2 at a voltage of 0.3 V for more than 2 weeks.",26059,26067,International Journal of Hydrogen Energy,42,41,,10.1016/j.ijhydene.2017.08.178,Erable
139,JOUR,"['Liu, Yuan; Fan, Yi-Song; Liu, Zhi-Mei']",Pyrolysis of iron phthalocyanine on activated carbon as highly efficient non-noble metal oxygen reduction catalyst in microbial fuel cells,2019,NA,416,427,Chemical Engineering Journal,361,NA,,10.1016/j.cej.2018.12.105,Liu
140,JOUR,"['Jiang, Yaxin; Ulrich, Ania C.; Liu, Yang']",Coupling bioelectricity generation and oil sands tailings treatment using microbial fuel cells,2013,NA,349,354,Bioresource technology,139,NA,,10.1016/j.biortech.2013.04.050,Jiang
141,JOUR,"['Dumas, Claire; Mollica, Alfonso; Feron, Damien; Basséguy, Régine; Etcheverry, Luc; Bergel, Alain']",Marine microbial fuel cell: Use of stainless steel electrodes as anode and cathode materials,2007,"Numerous biocorrosion studies have stated that biofilms formed in aerobic seawater induce an efficient catalysis of the oxygen reduction on stainless steels. This property was implemented here for the first time in a marine microbial fuel cell (MFC). A prototype was designed with a stainless steel anode embedded in marine sediments coupled to a stainless steel cathode in the overlying seawater. Recording current/potential curves during the progress of the experiment confirmed that the cathode progressively acquired effective catalytic properties. The maximal power density produced of 4 mW m −2 was lower than those reported previously with marine MFC using graphite electrodes. Decoupling anode and cathode showed that the cathode suffered practical problems related to implementation in the sea, which may found easy technical solutions. A laboratory fuel cell based on the same principle demonstrated that the biofilm-covered stainless steel cathode was able to supply current density up to 140 mA m −2 at +0.05 V versus Ag/AgCl. The power density of 23 mW m −2 was in this case limited by the anode. These first tests presented the biofilm-covered stainless steel cathodes as very promising candidates to be implemented in marine MFC. The suitability of stainless steel as anode has to be further investigated.",468,473,Electrochimica Acta,53,2,,10.1016/j.electacta.2007.06.069,Dumas
142,JOUR,"['Li, Fengxiang; Sharma, Yogesh; Lei, Yu; Li, Baikun; Zhou, Qixing']","Microbial fuel cells: the effects of configurations, electrolyte solutions, and electrode materials on power generation.",2009,NA,168,181,Applied biochemistry and biotechnology,160,1,,10.1007/s12010-008-8516-5,Li
143,JOUR,"['Dewan, Alim; Beyenal, Haluk; Lewandowski, Zbigniew']",Scaling up microbial fuel cells.,2008,"The goal of this study was to quantify the relation between the surface area of the current-limiting electrode of a microbial fuel cell (MFC) and the power density generated by the MFC. Shewanella oneidensis (MR-1) was grown anaerobically in the anodic compartment of an MFC utilizing lactate as the electron donor. Graphite plate electrodes of various sizes were used as anodes. Commercially available air electrodes, composed of manganese-based catalyzed carbon bonded to a current-collecting screen made of platinum mesh, were used as cathodes, and dissolved oxygen was used as the cathodic reactant. The surface area of the cathode was always significantly larger than that of the anode, to ensure that the anode was the current-limiting electrode. The power density generated by the MFC decreased as the surface area of the anode increased, which fits well with the trend we detected comparing various published results. Thus, our findings bring into question the assertion that the overall power density generated ...",7643,7648,Environmental science & technology,42,20,,10.1021/es800775d,Dewan
144,JOUR,"['Hassan, Sedky H.A.; Kim, Yong-Seong; Oh, Sang-Eun']",Power generation from cellulose using mixed and pure cultures of cellulose-degrading bacteria in a microbial fuel cell.,2012,NA,269,273,Enzyme and microbial technology,51,5,,10.1016/j.enzmictec.2012.07.008,Hassan
145,JOUR,"['Mu, Yang; Rabaey, Korneel; Rozendal, René A.; Yuan, Zhiguo; Keller, Jurg']",Decolorization of azo dyes in bioelectrochemical systems.,2009,"Azo dyes are ubiquitously used in the textile industry. These dyes need to be removed from the effluent prior to discharge to sewage due to their intense color and toxicity. In this study we investigated the use of a bioelectrochemical system (BES) to abioticlly cathodic decolorization of a model azo dye, Acid Orange 7 (AO7), where the process was driven by microbial oxidation of acetate atthe anode. Effective decolorization of AO7 at rates up to 264 +/- 0.03 mol m(-3) NCC d(-1) (net cathodic compartment, NCC) was achieved at the cathode, with concomitant energy recovery. The AO7 decolorization rate was significantly enhanced when the BES was supplied with power, reaching 13.18 +/- 0.05 mol m(-3) NCC d(-1) at an energy consumption 0.012 +/- 0.001 kWh mol(-1) AO7 (at a controlled cathode potential of -400 mV vs SHE). Compared with conventional anaerobic biological methods, the required dosage of organic cosubstrate was significantly reduced in the BES. A possible cathodic reaction mechanism for the decolorization of AO7 is suggested based on the decolorization products identified: the azo bond of AO7 was cleaved at the cathode, resulting in the formation of the colorless sulfanilic acid and 1-amino-2-naphthol.",5137,5143,Environmental science & technology,43,13,,10.1021/es900057f,Mu
146,JOUR,"['Slate, Anthony J.; Whitehead, Kathryn A.; Brownson, Dale A. C.; Banks, Craig E.']",Microbial fuel cells: An overview of current technology,2019,"Abstract Research into alternative renewable energy generation is a priority, due to the ever-increasing concern of climate change. Microbial fuel cells (MFCs) are one potential avenue to be explored, as a partial solution towards combating the over-reliance on fossil fuel based electricity. Limitations have slowed the advancement of MFC development, including low power generation, expensive electrode materials and the inability to scale up MFCs to industrially relevant capacities. However, utilisation of new advanced electrode-materials (i.e. 2D nanomaterials), has promise to advance the field of electromicrobiology. New electrode materials coupled with a more thorough understanding of the mechanisms in which electrogenic bacteria partake in electron transfer could dramatically increase power outputs, potentially reaching the upper extremities of theoretical limits. Continued research into both the electrochemistry and microbiology is of paramount importance in order to achieve industrial-scale development of MFCs. This review gives an overview of the current field and knowledge in regards to MFCs and discusses the known mechanisms underpinning MFC technology, which allows bacteria to facilitate in electron transfer processes. This review focusses specifically on enhancing the performance of MFCs, with the key intrinsic factor currently limiting power output from MFCs being the rate of electron transfer to/from the anode; the use of advanced carbon-based materials as electrode surfaces is discussed.",60,81,Renewable and Sustainable Energy Reviews,101,NA,,10.1016/j.rser.2018.09.044,Slate
147,JOUR,"['Huang, Haobin; Cheng, Shaoan; Yang, Jiawei; Li, Chaochao; Sun, Yi; Cen, Kefa']",Effect of nitrate on electricity generation in single-chamber air cathode microbial fuel cells,2018,NA,661,670,Chemical Engineering Journal,337,NA,,10.1016/j.cej.2017.12.150,Huang
148,JOUR,"['Kawale, Harshal D.; Ranveer, Anil C.; Chavan, Abhijit R.']",Electricity generation from wastewater using a microbial fuel cell by using mixed bacterial culture,2017,"A microbial fuel cell (MFC) is a device that uses microorganisms as biocatalysts to transform chemical energy into electricity. This study demonstrated the electricity generation from the synthetic wastewater in a two chambered microbial fuel cell (MFC) inoculated with a mixed culture of cellulose degrading bacteria (CDB). With an initial addition of a nutrient broth having concentration of 13 g/l the power density reached 469.48 W/m 2 ; while the maximum voltage reached is 1.0 V. The maximum power for this two chambered MFC was 1.0 W (at current of 1.0 Amp). These results demonstrated that electricity can be produced from the synthetic wastewater by exploiting CDB as the biocatalyst. In this case, the synthetic wastewater consists of cellulosic material and hence the most suitable mixed culture of bacteria is cellulose degrading bacteria. The research study of this kind was done first time and provided satisfactory good results. This method suggests that, if the constituents of the wastewater are known then we can use a bacterial culture as per the constituting elements which can give us the maximum output for bioenergy production.",1123,1127,Journal of Biochemical Technology,7,2,,NA,Kawale
149,JOUR,"['Iigatani, Reo; Ito, Toshihiro; Watanabe, Fumiko; Nagamine, Miyuki; Suzuki, Yoshihiro; Inoue, Kengo']",Electricity generation from sweet potato-shochu waste using microbial fuel cells.,2019,NA,56,63,Journal of bioscience and bioengineering,128,1,,10.1016/j.jbiosc.2018.12.015,Iigatani
150,JOUR,"['Chen, Yan-Ming; Wang, Chin-Tsan; Yang, Yung-Chin; Chen, Wei-Jung']",Application of aluminum-alloy mesh composite carbon cloth for the design of anode/cathode electrodes in Escherichia coli microbial fuel cell,2013,NA,11131,11137,International Journal of Hydrogen Energy,38,25,,10.1016/j.ijhydene.2013.01.010,Chen
151,JOUR,"['Choudhury, Payel; Uday, Uma Shankar Prasad; Mahata, Nibedita; Tiwari, Onkar Nath; Ray, Rup Narayan; Bandyopadhyay, Tarun Kanti; Bhunia, Biswanath']",Performance improvement of microbial fuel cells for waste water treatment along with value addition: A review on past achievements and recent perspectives,2017,NA,372,389,Renewable and Sustainable Energy Reviews,79,NA,,10.1016/j.rser.2017.05.098,Choudhury
152,JOUR,"['Yong, Yang-Chun; Dong, Xiaochen; Chan-Park, Mary B.; Song, Hao; Chen, Peng']",Macroporous and Monolithic Anode Based on Polyaniline Hybridized Three-Dimensional Graphene for High-Performance Microbial Fuel Cells,2012,"Microbial fuel cell (MFC) is of great interest as a promising green energy source to harvest electricity from various organic matters. However, low bacterial loading capacity and low extracellular electron transfer efficiency between the bacteria and the anode often limit the practical applications of MFC. In this work, a macroporous and monolithic MFC anode based on polyaniline hybridized three-dimensional (3D) graphene is demonstrated. It outperforms the planar carbon electrode because of its abilities to three-dimensionally interface with bacterial biofilm, facilitate electron transfer, and provide multiplexed and highly conductive pathways. This study adds a new dimension to the MFC anode design as well as to the emerging graphene applications.",2394,2400,ACS nano,6,3,,10.1021/nn204656d,Yong
153,JOUR,"['Chen, Jie; Deng, Feng; Hu, Yongyou; Sun, Jian; Yang, Yonggang']",Antibacterial activity of graphene-modified anode on Shewanella oneidensis MR-1 biofilm in microbial fuel cell,2015,NA,80,86,Journal of Power Sources,290,NA,,10.1016/j.jpowsour.2015.03.033,Chen
154,JOUR,"['Shahadat, Mohammad; Bushra, Rani; Khan, Ramir; Rafatullah, Mohd; Teng, Tjoon Tow']",A comparative study for the characterization of polyaniline based nanocomposites and membrane properties,2014,"Polyaniline (PANI) based novel nanocomposites have been fabricated by using a simple sol–gel method. The experimental conditions including mixing volume ratio of reactants, pH and temperature were established for their synthesis. For the comparative studies, characterizations were performed by using FTIR, TGA, SEM, TEM and XRD analyses. The structural studies reveal the amorphous and semi-crystalline natures with the particle sizes in the nano range. PANI supported nanocomposites exhibit improved conducting behavior, higher ion uptake capacity along with chemical and thermal stability. Membrane potentials of monovalent electrolytes namely KCl, NaCl and LiCl have been studied at different concentrations to examine the relationship between effective fixed charge density and transport properties of the membrane. The present study revealed that among Li+, K+ and Na+ ions, the PANI–Zr(IV)sulphosalicylate nanocomposite membrane shows more cation-selective behaviour towards K+ ions. Effective fixed charge densities were found to follow the order K+ > Na+ > Li+.",20686,20692,RSC Adv.,4,40,,10.1039/c4ra01040j,Shahadat
155,JOUR,"['De Schamphelaire, Liesje; Boeckx, Pascal; Verstraete, Willy']",Evaluation of biocathodes in freshwater and brackish sediment microbial fuel cells,2010,NA,1675,1687,Applied microbiology and biotechnology,87,5,,10.1007/s00253-010-2645-9,De Schamphelaire
156,JOUR,"['Osgood, Hannah; Devaguptapu, Surya V.; Xu, Hui; Cho, Jaephil; Wu, Gang']","Transition metal (Fe, Co, Ni, and Mn) oxides for oxygen reduction and evolution bifunctional catalysts in alkaline media",2016,"Abstract In recent years, a large amount of focus has been given to the development of alternative energy sources that are clean and efficient; among these, electrochemical energy holds potential for its compatibility with solar and wind energy, as well as their applications in fuel cells, and metal-air batteries, and water electrolyzers. However, these technologies require the use of highly active and stable catalysts to make these applications feasible. Current catalysts consist of precious metals such as platinum and iridium, which are expensive and block common access to electrochemical energy. Transition metals, and their oxides, serve as a promising alternative to these precious metals. due to their intrinsic activity and sufficient stability in oxidative electrochemical environments. Among wide range of these metals, cobalt, manganese, nickel, and iron, have been extensively explored as bifunctional catalysts, capable of simultaneously catalyzing oxygen reduction reaction (ORR) and oxygen evolution reaction (OER) for energy storage and conversion. Not only do they show innate electrochemical capabilities, but their structural diversity, as well as their ability to be mixed, doped, and combined with other materials such as graphene, make transition metal oxides a highly attractive subject in electrochemical and materials research. This review serves to summarize the research currently available concerning transition metal oxides, and their applications as a bifunctional catalyst for the utilized fuel cells and rechargeable metal-air batteris in alkaline media. Particularly, oxide synthesis and their structural properties are related to their electrochemical abilities, along with their behavior when introduced to other catalytic materials and dopants.",601,625,Nano Today,11,5,,10.1016/j.nantod.2016.09.001,Osgood
157,JOUR,"['Bose, Debajyoti; Sridharan, Shanmathi; Dhawan, Himanshi; Vijay, Parthasarthy; Gopinath, M.']",Biomass derived activated carbon cathode performance for sustainable power generation from Microbial Fuel Cells,2019,NA,325,337,Fuel,236,NA,,10.1016/j.fuel.2018.09.002,Bose
158,JOUR,"['Chang, Wei-Ting; Chao, Yu-Hao; Li, Chen-Wei; Lin, Kai-Lun; Wang, Jia-Jie; Kumar, S. Rajesh; Lue, Shingjiang Jessie']",Graphene oxide synthesis using microwave-assisted vs. modified Hummer's methods: Efficient fillers for improved ionic conductivity and suppressed methanol permeability in alkaline methanol fuel cell electrolytes,2019,NA,86,95,Journal of Power Sources,414,NA,,10.1016/j.jpowsour.2018.12.020,Chang
159,JOUR,"['Fu, Lei; You, Shijie; Zhang, Guoquan; Yang, Fenglin; Fang, Xiaohong']",Degradation of azo dyes using in-situ Fenton reaction incorporated into H2O2-producing microbial fuel cell.,2010,NA,164,169,Chemical Engineering Journal,160,1,,10.1016/j.cej.2010.03.032,Fu
160,JOUR,"['Liu, Jing; Qiao, Yan; Guo, Chunxian; Lim, Sierin; Song, Hao; Li, Chang Ming']",Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells.,2012,NA,275,280,Bioresource technology,114,NA,,10.1016/j.biortech.2012.02.116,Liu
161,JOUR,"['Ryu, Eun Yeon; Kim, Mia; Lee, Sang-Joon']",Characterization of microbial fuel cells enriched using Cr(VI)-containing sludge.,2011,"Microbial fuel cells (MFCs) were successfully enriched using sludge contaminated with Cr(VI) and their characteristics were investigated. After enrichment, the charge of the final 10 peaks was 0.51 C +/- 1.16%, and the anodic electrode was found to be covered with a biofilm. The enriched MFCs removed 93% of 5 mg/l Cr(VI) and 61% of 25 mg/l Cr(VI). 16S rDNA DGGE profiles from the anodic electrode indicated that beta-Proteobacteria, Actinobacteria, and Acinetobacter sp. dominated. This study is the first to report that electrochemically active and Cr(VI)-reducing bacteria could be enriched in the anode compartment of MFCs using Cr(VI)-containing sludge and demonstrates the Cr(VI) removal capability of such MFCs.",187,191,Journal of microbiology and biotechnology,21,2,,10.4014/jmb.1008.08019,Ryu
162,JOUR,"['Huang, Liping; Li, Tianchi; Liu, Chuan; Quan, Xie; Chen, Li-Jie; Wang, Aijie; Chen, Guohua']",Synergetic interactions improve cobalt leaching from lithium cobalt oxide in microbial fuel cells.,2012,NA,539,546,Bioresource technology,128,NA,,10.1016/j.biortech.2012.11.011,Huang
163,JOUR,"['Najafabadi, Amin Taheri; Ng, Norvin; Gyenge, Előd L.']",Electrochemically exfoliated graphene anodes with enhanced biocurrent production in single-chamber air-breathing microbial fuel cells,2016,NA,103,110,Biosensors & bioelectronics,81,NA,,10.1016/j.bios.2016.02.054,Najafabadi
164,JOUR,"['Tan, Russell Kai Liang; Reeves, Sean P.; Hashemi, Niloofar; Thomas, Deepak-George; Kavak, Emrah; Montazami, Reza; Hashemi, Nicole N.']",Graphene as a flexible electrode: review of fabrication approaches,2017,"In recent years, the technological advancement of supercapacitors has been increasing exponentially due to the high demand in electronic consumer products. As so, researchers have found a way to meet that demand by fabricating graphene. As developments are made toward the future, two big advancements to be made are large-scale fabrication of graphene and fabricating graphene as a flexible electrode. This would allow for use in larger products and for manipulation of the unique properties of graphene to accommodate superior design alternatives. While large scale production is still mentioned, this review is specifically focusing on different methods used to fabricate graphene as a flexible electrode. Various fabrication methods, such as Hummers' method, chemical vapor deposition, epitaxial growth, and exfoliation of graphite oxide, used to fabricate graphene in such a way that allows flexibility and utilization of graphene's mechanical and electrical properties are discussed. Additionally, a section on environmentally friendly fabrication approaches is presented and discussed.",17777,17803,Journal of Materials Chemistry A,5,34,,10.1039/c7ta05759h,Tan
165,JOUR,"['Mitov, Mario; Chorbadzhiyska, Elitsa; Rashkov, R.; Hubenova, Yolina']",Novel nanostructured electrocatalysts for hydrogen evolution reaction in neutral and weak acidic solutions,2012,NA,16522,16526,International Journal of Hydrogen Energy,37,21,,10.1016/j.ijhydene.2012.02.102,Mitov
166,JOUR,"['Singhvi, P.; Chhabra, Meenu']",Simultaneous Chromium Removal and Power Generation Using Algal Biomass in a Dual Chambered Salt Bridge Microbial Fuel Cell,2013,"Microbial Fuel Cell (MFC) is a bio-electrochemical device used essentially for power generation and is now emerging as a sustainable waste treatment system. In this paper, we report detoxification of chromium VI contaminated water using algae biomass in a dual chamber salt bridge MFC. The device showed high chromium removal efficiency with 98% removal achieved in 96 h at pH 2. Initial pH of the cathode solution had a significant effect on device performance with acidic pH values favouring high chromium removal, Open Circuit Potential (OCV), power density and anodic COD removal. The power density value of 207 mW/m 2 and open circuit potential of 760 mV was attained at pH 2. Algae biomass driven MFC thus, proved to be an efficient bioremediation device with good power production.",1,4,Journal of Bioremediation & Biodegradation,4,5,,10.4172/2155-6199.1000190,Singhvi
167,JOUR,"['Zhao, Cui-e; Gai, Panpan; Liu, Changhong; Wang, Xin; Xu, Hao; Zhang, Jian-Rong; Zhu, Jun-Jie']",Polyaniline networks grown on graphene nanoribbons-coated carbon paper with a synergistic effect for high-performance microbial fuel cells,2013,"Microbial fuel cells (MFCs) show promise as a technology for electricity generation from waste, and their performance critically depends on the electrode materials and their structures. Herein, a novel MFC anode was fabricated by electro-depositing polyaniline (PANI) networks onto graphene nanoribbons (GNRs)-coated carbon paper (CP/GNRs/PANI). This anode provides a large surface area for the attachment of bacterial cells and high conductivity to facilitate extracellular electron transfer (EET) from microbes to the electrode. Results showed that the anodic current density and power density of the CP/GNRs/PANI anode were much higher than those of each individual component as anode, indicating the synergistic effect between PANI and GNRs.",12587,12594,Journal of Materials Chemistry A,1,40,,10.1039/c3ta12947k,Zhao
168,JOUR,"['Kirubaharan, C. Joseph; Santhakumar, Kannappan; kumar, G. Gnana; Senthilkumar, N.; Jang, Jae-Hyung']",Nitrogen doped graphene sheets as metal free anode catalysts for the high performance microbial fuel cells,2015,NA,13061,13070,International Journal of Hydrogen Energy,40,38,,10.1016/j.ijhydene.2015.06.025,Kirubaharan
169,JOUR,"['Yuan, Yong; Liu, Ting; Fu, Peng; Tang, Jiahuan; Shungui, Zhou']",Conversion of sewage sludge into high-performance bifunctional electrode materials for microbial energy harvesting,2015,"Conversion of sewage sludge (SS) into value-added biochar has garnered increasing attention due to its potential applications as a soil amendment and pollutant adsorbent. In this study, we propose a new application of the SS-derived biochar as an advanced bifunctional electrode material (anode and cathode) in microbial fuel cells (MFCs). To function as an anode, the SS amended with various amounts of coconut shell was pressed into a mold and then converted into SS-derived carbon monoliths (SMs) by heat treatment. Meanwhile, powdered SMs (PSMs) were used as the catalysts for oxygen reduction in the cathodes of the MFCs. The maximum power density of 969 ± 28 mW m−2 was achieved from the MFC with a SM anode and a PSM cathode, which was ca. 2.4 times that of the MFC with a graphite anode and a Pt cathode. The enhanced electrical conductivity of the SMs caused by amending the coconut shell resulted in the enrichment of exoelectrogens and the decrease in electron transfer resistance, which were responsible for the excellent performances of the as-prepared electrodes. This study suggests a promising method to convert SS into bifunctional electrode materials, offering a new opportunity for value-added applications of SS-derived biochar.",8475,8482,Journal of Materials Chemistry A,3,16,,10.1039/c5ta00458f,Yuan
170,JOUR,"['Agnoli, Stefano; Favaro, Marco']","Doping graphene with boron: a review of synthesis methods, physicochemical characterization, and emerging applications",2016,"Graphene based materials can be effectively modified by doping in order to specifically tailor their properties toward specific applications. So far the most used and widely investigated dopant heteroatom is probably nitrogen. However, boron is also an equally important element that can induce novel and complementary properties leading to specific implementation in alternative devices and technologies. In this paper, we survey the most recent preparation methods of boron doped graphene, including materials with specific morphology such as nanoribbons, quantum dots and 3D interconnected systems. We illustrate the results of theoretical and experimental studies dealing with the description and understanding of the main structural, electronic and chemical properties of this material. The emerging applications of boron doped graphene in several technological fields such as electrochemistry, sensors, photovoltaics, catalysis and biology are extensively reviewed.",5002,5025,Journal of Materials Chemistry A,4,14,,10.1039/c5ta10599d,Agnoli
171,JOUR,"['Li, Zhongjian; Zhang, Xingwang; Lin, Jun; Han, Song; Lei, Lecheng']",Azo dye treatment with simultaneous electricity production in an anaerobic-aerobic sequential reactor and microbial fuel cell coupled system.,2010,NA,4440,4445,Bioresource technology,101,12,,10.1016/j.biortech.2010.01.114,Li
